"config","algorithm","avg_cost_per_step","avg_fill_rate","avg_stockout_rate","avg_bullwhip_cv","avg_transport_per_step","avg_route_distance_per_step","routing_feasible_rate","runtime_sec"
"env_3layers","GAInventory+Savings2Opt","937.2146901688948","0.9931844985525755","0.006815501447424414","3.9079180827241715","115.71469016889495","115.71469016889495","1.0","0.8891496658325195"
"env_3layers","ALNSInventory+Savings","976.0313464707551","0.9648338474156617","0.03516615258433838","3.4229835151872554","107.14245758186632","107.14245758186632","1.0","0.22566938400268555"
"env_3layers","ALNSInventory+Savings2Opt","976.0313464707551","0.9648338474156617","0.03516615258433838","3.4229835151872554","107.14245758186632","107.14245758186632","1.0","0.21216344833374023"
"env_3layers","ALNS-IRP","898.6842932753499","0.9578392501999103","0.04216074980008966","2.985446099378283","100.83984883090551","100.83984883090551","1.0","0.7293977737426758"
"env_3layers","MILP","617.4","0.9956114376946402","0.004388562305359815","2.0549779405218307","0.0","0.0","1.0","3.3937013149261475"
"env_3layers_normal","BaseStock","2581.875380264344","0.546180083300383","0.4538199166996169","2.213378311736704","0.0","0.0","1.0","0.021633386611938477"
"env_3layers_normal","(s,S)","2768.737480924749","0.5112956334263331","0.48870436657366684","2.5141867092821752","0.0","0.0","1.0","0.021608829498291016"
"env_3layers_normal","BaseStock+Savings","2637.7944627356273","0.546180083300383","0.4538199166996169","2.213378311736704","55.91908247128282","55.91908247128282","1.0","0.027274370193481445"
"env_3layers_normal","(s,S)+Savings","2812.455227926133","0.5112956334263331","0.48870436657366684","2.5141867092821752","43.71774700138328","43.71774700138328","1.0","0.027811765670776367"
"env_3layers_normal","BaseStock+Savings2Opt","2637.7944627356273","0.546180083300383","0.4538199166996169","2.213378311736704","55.91908247128282","55.91908247128282","1.0","0.026779890060424805"
"env_3layers_normal","(s,S)+Savings2Opt","2812.455227926133","0.5112956334263331","0.48870436657366684","2.5141867092821752","43.71774700138328","43.71774700138328","1.0","0.026566743850708008"
"env_3layers_normal","BaseStock+NearestInsertion","2637.7944627356273","0.546180083300383","0.4538199166996169","2.213378311736704","55.91908247128282","55.91908247128282","1.0","0.030214309692382812"
"env_3layers_normal","(s,S)+NearestInsertion","2812.455227926133","0.5112956334263331","0.48870436657366684","2.5141867092821752","43.71774700138328","43.71774700138328","1.0","0.027634143829345703"
"env_3layers_normal","BaseStock+GARouting","2637.7944627356273","0.546180083300383","0.4538199166996169","2.213378311736704","55.91908247128282","55.91908247128282","1.0","5.41003155708313"
