algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action
MAPPO-GNN,39,23.992592592592594,12.811451067839615,0.007692307692307693,0.028205128205128206,0,23.992592592592594,12.811451067839615,0.007692307692307693,0.028205128205128206,0,18.1;18.7667;34.9333;33.9333;18.2;16.6;30.7667;29.6;15.0333,7.64788;8.11042;11.1533;14.4035;6.93974;7.29657;13.3858;12.3763;7.80804,18.4333;29.0222;23,18.1;18.7667;34.9333;33.9333;18.2;16.6;30.7667;29.6;15.0333,7.64788;8.11042;11.1533;14.4035;6.93974;7.29657;13.3858;12.3763;7.80804,18.4333;29.0222;23
MAPPO-GNN,40,22.362962962962964,13.187034826569118,0.028205128205128206,0.028205128205128206,0,22.362962962962964,13.187034826569118,0.028205128205128206,0.028205128205128206,0,17.7333;16.7;32.7;28.0667;15.1667;12.7333;36.5667;26.9333;14.6667,7.06604;9.16206;12.5463;10.2435;8.10795;9.63996;12.096;12.4978;9.40331,17.2167;25.3111;22.725,17.7333;16.7;32.7;28.0667;15.1667;12.7333;36.5667;26.9333;14.6667,7.06604;9.16206;12.5463;10.2435;8.10795;9.63996;12.096;12.4978;9.40331,17.2167;25.3111;22.725
MAPPO-GNN,41,23.344444444444445,12.52715076036205,0.015384615384615385,0.038461538461538464,0,23.344444444444445,12.52715076036205,0.015384615384615385,0.038461538461538464,0,17.8;16.8;32.8333;30.8;15.9667;13.6333;33.4333;31.1667;17.6667,6.60505;8.50255;13.974;12.1117;8.0477;7.88028;8.9319;10.2048;8.97527,17.3;26.5333;23.975,17.8;16.8;32.8333;30.8;15.9667;13.6333;33.4333;31.1667;17.6667,6.60505;8.50255;13.974;12.1117;8.0477;7.88028;8.9319;10.2048;8.97527,17.3;26.5333;23.975
MAPPO-GNN,42,22.74074074074074,13.688850809631179,0.03333333333333333,0.028205128205128206,0,22.74074074074074,13.688850809631179,0.03333333333333333,0.028205128205128206,0,16.5333;17.2;28.0333;30.0333;15.1;14.7333;32.6;35.9667;14.4667,8.06529;8.5143;12.6398;12.7082;8.02226;8.57101;15.0413;13.2778;8.58966,16.8667;24.3889;24.4417,16.5333;17.2;28.0333;30.0333;15.1;14.7333;32.6;35.9667;14.4667,8.06529;8.5143;12.6398;12.7082;8.02226;8.57101;15.0413;13.2778;8.58966,16.8667;24.3889;24.4417
MAPPO-GNN,43,23.007407407407406,13.247499440521286,0.023076923076923078,0.020512820512820513,0,23.007407407407406,13.247499440521286,0.023076923076923078,0.020512820512820513,0,19.3333;16.7333;27.8333;27.6667;15.2667;14.1;36.5333;34.4333;15.1667,6.79379;8.72901;13.4414;12.7706;7.71982;7.63915;11.924;13.0759;8.3749,18.0333;23.5889;25.0583,19.3333;16.7333;27.8333;27.6667;15.2667;14.1;36.5333;34.4333;15.1667,6.79379;8.72901;13.4414;12.7706;7.71982;7.63915;11.924;13.0759;8.3749,18.0333;23.5889;25.0583
MAPPO-GNN,44,22.94814814814815,11.739340961070786,0.01282051282051282,0.020512820512820513,0,22.94814814814815,11.739340961070786,0.01282051282051282,0.020512820512820513,0,18.5;15.2;28.5;30.9333;17.2;15.7333;34.2;29;17.2667,7.52662;6.9685;11.2004;11.7925;6.98761;7.93277;10.3034;12.6386;6.15864,16.85;25.5444;24.05,18.5;15.2;28.5;30.9333;17.2;15.7333;34.2;29;17.2667,7.52662;6.9685;11.2004;11.7925;6.98761;7.93277;10.3034;12.6386;6.15864,16.85;25.5444;24.05
MAPPO-GNN,45,23.18148148148148,12.495051969925477,0.023076923076923078,0.04871794871794872,0,23.18148148148148,12.495051969925477,0.023076923076923078,0.04871794871794872,0,16;17.5;28.6333;33.1333;16.9333;16.4667;34.5;29.9667;15.5,6.29285;9.44369;11.4673;11.6153;6.98538;8.97676;11.0958;11.7742;9.42956,16.75;26.2333;24.1083,16;17.5;28.6333;33.1333;16.9333;16.4667;34.5;29.9667;15.5,6.29285;9.44369;11.4673;11.6153;6.98538;8.97676;11.0958;11.7742;9.42956,16.75;26.2333;24.1083
MAPPO-GNN,46,22.711111111111112,12.646982756353635,0.03076923076923077,0.028205128205128206,0,22.711111111111112,12.646982756353635,0.03076923076923077,0.028205128205128206,0,17.2;15.7333;29.5667;27.2333;17.0667;15.3333;36.1333;29.4667;16.6667,7.2037;8.12787;10.5726;12.9684;6.68298;8.49444;12.4786;14.5504;7.88811,16.4667;24.6222;24.4,17.2;15.7333;29.5667;27.2333;17.0667;15.3333;36.1333;29.4667;16.6667,7.2037;8.12787;10.5726;12.9684;6.68298;8.49444;12.4786;14.5504;7.88811,16.4667;24.6222;24.4
MAPPO-GNN,47,23.214814814814815,11.990975115684533,0.010256410256410256,0.035897435897435895,0,23.214814814814815,11.990975115684533,0.010256410256410256,0.035897435897435895,0,18.9333;16.2;30.4333;30.4333;14.3667;16.3333;32.5333;29.9;19.8,5.335;8.99037;11.988;12.569;7.49437;8.02635;12.4197;10.5051;7.56924,17.5667;25.0778;24.6417,18.9333;16.2;30.4333;30.4333;14.3667;16.3333;32.5333;29.9;19.8,5.335;8.99037;11.988;12.569;7.49437;8.02635;12.4197;10.5051;7.56924,17.5667;25.0778;24.6417
MAPPO-GNN,48,23.31111111111111,12.69614503561739,0.038461538461538464,0.046153846153846156,0,23.31111111111111,12.69614503561739,0.038461538461538464,0.046153846153846156,0,17.2;21;27.3333;26.9667;14.8333;15.6667;35.5667;34.5333;16.7,5.78158;8.15271;12.7941;11.9233;7.72478;8.336;12.433;13.2507;7.95466,19.1;23.0444;25.6167,17.2;21;27.3333;26.9667;14.8333;15.6667;35.5667;34.5333;16.7,5.78158;8.15271;12.7941;11.9233;7.72478;8.336;12.433;13.2507;7.95466,19.1;23.0444;25.6167
MAPPO-GNN,49,23.666666666666668,12.551523443022395,0.035897435897435895,0.03333333333333333,0,23.666666666666668,12.551523443022395,0.035897435897435895,0.03333333333333333,0,15.8;20.7667;32.3667;28.1667;17.8667;14.7;38.2667;29.0667;16,6.21504;7.98199;12.1586;11.9445;6.58146;8.76793;8.75189;12.5511;9.45163,18.2833;26.1333;24.5083,15.8;20.7667;32.3667;28.1667;17.8667;14.7;38.2667;29.0667;16,6.21504;7.98199;12.1586;11.9445;6.58146;8.76793;8.75189;12.5511;9.45163,18.2833;26.1333;24.5083
MAPPO-GNN,50,22.025925925925925,11.886316209471717,0.028205128205128206,0.03333333333333333,0,22.025925925925925,11.886316209471717,0.028205128205128206,0.03333333333333333,0,20.5667;14.0333;28.9;29.0667;19.2;14.2333;29.5333;27.6333;15.0667,5.3021;9.93138;9.66213;12.4283;7.98081;8.97286;11.1227;13.7392;8.51639,17.3;25.7222;21.6167,20.5667;14.0333;28.9;29.0667;19.2;14.2333;29.5333;27.6333;15.0667,5.3021;9.93138;9.66213;12.4283;7.98081;8.97286;11.1227;13.7392;8.51639,17.3;25.7222;21.6167
